paper name,abstract,keywords,link
Using an Iterative Reallocation Partitioning Algorithm to Verify Test Multidimensionality,"This article addresses the issue of assigning items to different test dimensions (e.g., determining which dimension an item belongs to) with cluster analysis. Previously, hierarchical methods have been used (Roussos et al. 1997); however, the findings here suggest that an iterative reallocation partitioning (IRP) algorithm provides interpretively similar solutions and statistically better solutions to the problem. More importantly, it is shown that the inherent nature of locally optimal solutions in the IRP algorithm leads to a method that aids in determining the appropriateness of performing a cluster analysis—a feature that is lacking in the standard hierarchical methods currently in the literature.","Test theory, Cluster analysis, k-means clustering",https://link.springer.com//article/10.1007/s00357-019-09347-z
MCC: a Multiple Consensus Clustering Framework,"Consensus clustering has emerged as an important extension of the classical clustering problem. Given a set of input clusterings of a given dataset, consensus clustering aims to find a single final clustering which is a better fit in some sense than the existing clusterings. There is a significant drawback in generating a single consensus clustering since different input clusterings could differ significantly. In this paper, we develop a new framework, called Multiple Consensus Clustering (MCC), to explore multiple clustering views of a given dataset from a set of input clusterings. Instead of generating a single consensus, we propose two sets of approaches to obtain multiple consensus. One employs the meta clustering method, and the other uses a hierarchical tree structure and further applies a dynamic programming algorithm to generate a flat partition from the hierarchical tree using the modularity measure. Multiple consensuses are finally obtained by applying consensus clustering algorithms to each cluster of the partition. Extensive experimental results on 11 real-world datasets and a case study on a Protein-Protein Interaction (PPI) dataset demonstrate the effectiveness of the MCC framework.","Consensus clusterings, Multiple clusterings",https://link.springer.com//article/10.1007/s00357-019-09318-4
Note: t for Two (Clusters),"The computation for cluster analysis is done by iterative algorithms. But here, a straightforward, non-iterative procedure is presented for clustering in the special case of one variable and two groups. The method is univariate but may reasonably be applied to multivariate datasets when the first principal component or a single factor explains much of the variation in the data. The t method is motivated by the fact that minimizing the within-groups sum of squares is equivalent to maximizing the between-groups sum of squares, and that Student’s t statistic measures the between-groups difference in means relative to within-groups variation. That is, the t statistic is the ratio of the difference in sample means, divided by the standard error of this difference. So, maximizing the t statistic is developed as a method for clustering univariate data into two clusters. In this situation, the t method gives the same results as the K-means algorithm. K-means tacitly assumes equality of variances; here, however, with t, equality of variances need not be assumed because separate variances may be used in computing t. The t method is applied to some datasets; the results are compared with those obtained by fitting mixtures of distributions.","Cluster analysis, Student’s t, Unequal variances",https://link.springer.com//article/10.1007/s00357-019-09335-3
The δ-Machine: Classification Based on Distances Towards Prototypes,"We introduce the δ-machine, a statistical learning tool for classification based on (dis)similarities between profiles of the observations to profiles of a representation set consisting of prototypes. In this article, we discuss the properties of the δ-machine, propose an automatic decision rule for deciding on the number of clusters for the K-means method on the predictive perspective, and derive variable importance measures and partial dependence plots for the machine. We performed five simulation studies to investigate the properties of the δ-machine. The first three simulation studies were conducted to investigate selection of prototypes, different (dis)similarity functions, and the definition of representation set. Results indicate that we best use the Lasso to select prototypes, that the Euclidean distance is a good dissimilarity function, and that finding a small representation set of prototypes gives sparse but competitive results. The remaining two simulation studies investigated the performance of the δ-machine with imbalanced classes and with unequal covariance matrices for the two classes. The results obtained show that the δ-machine is robust to class imbalances, and that the four (dis)similarity functions had the same performance regardless of the covariance matrices. We also showed the classification performance of the δ-machine compared with three other classification methods on ten real datasets from UCI database, and discuss two empirical examples in detail.","Dissimilarity space, Nonlinear classification, The Lasso",https://link.springer.com//article/10.1007/s00357-019-09338-0
A Framework for Quantifying Qualitative Responses in Pairwise Experiments,"Suppose an experiment is conducted on pairs of objects with outcome response a continuous variable measuring the interactions among the pairs. Furthermore, assume the response variable is hard to measure numerically but we may code its values into low and high levels of interaction (and possibly a third category in between if neither label applies). In this paper, we estimate the interaction values from the information contained in the coded data and the design structure of the experiment. A novel estimation method is introduced and shown to enjoy several optimal properties including maximum explained variance in the responses with minimum number of parameters and for any probability distribution underlying the responses. Furthermore, the interactions have the simple interpretation of correlation (in absolute value), size of error is estimable from the experiment, and only a single run of each pair is needed for the experiment. We also explore possible applications of the technique. Three applications are presented, one on protein interaction, a second on drug combination, and the third on machine learning. The first two applications are illustrated using real life data while for the third application, the data are generated via binary coding of an image.","Quantification, Positive semidefinite programming, Networks, Protein interaction, Drug synergy, Machine learning",https://link.springer.com//article/10.1007/s00357-019-09337-1
A New Relationship Between Intuitionistic Fuzzy Sets and Genetics,"Intuitionistic fuzzy sets represent a generalization of the concept of fuzzy sets and has many applications to different fields of science. This paper applies the concept of intuitionistic fuzzy sets to genetics. More precisely, we consider some examples of hypergroupoids associated to biological inheritance, construct sequences of join spaces and find their intuitionistic fuzzy grades.","Intuitionistic fuzzy set, Join space, Genotype, Phenotype",https://link.springer.com//article/10.1007/s00357-018-9276-8
Three-Way Symbolic Tree-Maps and Ultrametrics,"Three-way dissimilarities are a generalization of (two-way) dissimilarities which can be used to indicate the lack of homogeneity or resemblance between any three objects. Such maps have applications in cluster analysis and have been used in areas such as psychology and phylogenetics, where three-way data tables can arise. Special examples of such dissimilarities are three-way tree-metrics and ultrametrics, which arise from leaf-labelled trees with edges labelled by positive real numbers. Here we consider three-way maps which arise from leaf-labelled trees where instead the interior vertices are labelled by an arbitrary set of values. For unrooted trees, we call such maps three-way symbolic tree-maps; for rooted trees, we call them three-way symbolic ultrametrics since they can be considered as a generalization of the (two-way) symbolic ultrametrics of Bocker and Dress. We show that, as with two- and three-way tree-metrics and ultrametrics, three-way symbolic tree-maps and ultrametrics can be characterized via certain k-point conditions. In the unrooted case, our characterization is mathematically equivalent to one presented by Gurvich for a certain class of edge-labelled hypergraphs. We also show that it can be decided whether or not an arbitrary three-way symbolic map is a tree-map or a symbolic ultrametric using a triplet-based approach that relies on the so-called BUILD algorithm for deciding when a set of 3-leaved trees or triplets can be displayed by a single tree. We envisage that our results will be useful in developing new approaches and algorithms for understanding 3-way data, especially within the area of phylogenetics.","Three-way dissimilarity, Three-way symbolic map, Symbolic ultrametric, Ultrametric, Tree-metric, Phylogenetic tree",https://link.springer.com//article/10.1007/s00357-018-9274-x
Attribute Hierarchy Models in Cognitive Diagnosis: Identifiability of the Latent Attribute Space and Conditions for Completeness of the Q-Matrix,"Educational researchers have argued that a realistic view of the role of attributes in cognitively diagnostic modeling should account for the possibility that attributes are not isolated entities, but interdependent in their effect on test performance. Different approaches have been discussed in the literature; among them the proposition to impose a hierarchical structure so that mastery of one or more attributes is a prerequisite of mastering one or more other attributes. A hierarchical organization of attributes constrains the latent attribute space such that several proficiency classes, as they exist if attributes are not hierarchically organized, are no longer defined because the corresponding attribute combinations cannot occur with the given attribute hierarchy. Hence, the identification of the latent attribute space is often difficult—especially, if the number of attributes is large. As an additional complication, constructing a complete Q-matrix may not at all be straightforward if the attributes underlying the test items are supposed to have a hierarchical structure. In this article, the conditions of identifiability of the latent space if attributes are hierarchically organized and the conditions of completeness of the Q-matrix are studied.","Cognitive diagnosis, Attribute hierarchy, Latent attribute apace, Q-Matrix, Completeness, DINA model, General DCMs",https://link.springer.com//article/10.1007/s00357-018-9278-6
A Note on Applying the BCH Method Under Linear Equality and Inequality Constraints,"Researchers often wish to relate estimated scores on latent variables to exogenous covariates not previously used in analyses. The BCH method corrects for asymptotic bias in estimates due to these scores’ uncertainty and has been shown to be relatively robust. When applying the BCH approach however, two problems arise. First, negative cell proportions can be obtained. Second, the approach cannot deal with situations where marginals need to be fixed to specific values, such as edit restrictions. The BCH approach can handle these problems when placed in a framework of quadratic loss functions and linear equality and inequality constraints. This research note gives the explicit form for equality constraints and demonstrates how solutions for inequality constraints may be obtained using numerical methods.","Classification, Latent class analysis, Three-step procedure, BCH method",https://link.springer.com//article/10.1007/s00357-018-9298-2
Quantum-Behaved Particle Swarm Optimization for Parameter Optimization of Support Vector Machine,"Support vector machine (SVM) parameters such as penalty parameter and kernel parameters have a great influence on the complexity and accuracy of SVM model. In this paper, quantum-behaved particle swarm optimization (QPSO) has been employed to optimize the parameters of SVM, so that the classification error can be reduced. To evaluate the proposed model (QPSO-SVM), the experiment adopted seven standard classification datasets which are obtained from UCI machine learning data repository. For verification, the results of the QPSO-SVM algorithm are compared with the standard PSO, and genetic algorithm (GA) which is one of the well-known optimization algorithms. Moreover, the results of QPSO are compared with the grid search, which is a conventional method of searching parameter values. The experimental results demonstrated that the proposed model is capable to find the optimal values of the SVM parameters. The results also showed lower classification error rates compared with standard PSO and GA algorithms.","Quantum particle swarm optimization (QPSO), Optimization algorithms, Support vector machine (SVM), Classification, Parameter optimization",https://link.springer.com//article/10.1007/s00357-018-9299-1
MDCGen: Multidimensional Dataset Generator for Clustering,"We present a tool for generating multidimensional synthetic datasets for testing, evaluating, and benchmarking unsupervised classification algorithms. Our proposal fills a gap observed in previous approaches with regard to underlying distributions for the creation of multidimensional clusters. As a novelty, normal and non-normal distributions can be combined for either independently defining values feature by feature (i.e., multivariate distributions) or establishing overall intra-cluster distances. Being highly flexible, parameterizable, and randomizable, MDCGen also implements classic pursued features: (a) customization of cluster-separation, (b) overlap control, (c) addition of outliers and noise, (d) definition of correlated variables and rotations, (e) flexibility for allowing or avoiding isolation constraints per dimension, (f) creation of subspace clusters and subspace outliers, (g) importing arbitrary distributions for the value generation, and (h) dataset quality evaluations, among others. As a result, the proposed tool offers an improved range of potential datasets to perform a more comprehensive testing of clustering algorithms.","Clustering, Dataset generator, Synthetic data",https://link.springer.com//article/10.1007/s00357-019-9312-3
